SUMLEV,Geo,sexo,PAISNAC,pob
SL050,34164848085,6,343,61
SL050,34164848085,1,343,47
SL050,34164848084,9,228,295
SL050,34164848084,6,347,151
SL050,34164848084,1,228,198
SL050,34164848083,9,342,41
SL050,34164848083,6,342,23
SL050,34164848083,1,228,23
SL050,34164848082,9,228,353
SL050,34164848082,6,128,135
SL050,34164848082,1,228,258
SL050,34164848081,9,123,20
SL050,34164848081,6,123,11
SL050,34164848081,1,123,9
SL050,34164848080,9,343,62
SL050,34164848080,6,343,34
SL050,34164848080,1,228,33
SL050,34164848079,9,110,3
SL050,34164848079,6,343,2
SL050,34164848079,1,110,2
SL050,34164848078,9,228,351
SL050,34164848078,6,347,161
SL050,34164848078,1,228,227
SL050,34164848077,9,343,62
SL050,34164848077,6,343,41
SL050,34164848077,1,343,21
SL050,34164848076,9,128,8
SL050,34164848076,6,128,5
SL050,34164848076,1,128,3
SL050,34164848075,9,128,50
SL050,34164848075,6,128,28
SL050,34164848075,1,128,22
SL050,34164848074,9,228,126
SL050,34164848074,6,345,40
SL050,34164848074,1,228,108
SL050,34164848073,9,239,188
SL050,34164848073,6,228,24
SL050,34164848073,1,239,174
SL050,34164848072,9,351,22
SL050,34164848072,6,351,12
SL050,34164848072,1,228,10
SL050,34164848071,9,342,50
SL050,34164848071,6,342,34
SL050,34164848071,1,228,18
SL050,34164848070,9,228,7
SL050,34164848070,6,323,5
SL050,34164848070,1,228,3
SL050,34164848069,9,343,300
SL050,34164848069,6,343,167
SL050,34164848069,1,343,133
SL050,34164848068,9,351,18
SL050,34164848068,6,343,9
SL050,34164848068,1,351,9
SL050,34164848067,9,228,34
SL050,34164848067,6,128,8
SL050,34164848067,1,228,34
SL050,34164848066,9,227,4
SL050,34164848066,6,128,2
SL050,34164848066,1,227,3
SL050,34164848065,9,228,55
SL050,34164848065,6,128,18
SL050,34164848065,1,228,39
SL050,34164848064,9,110,3
SL050,34164848064,6,302,2
SL050,34164848064,1,110,2
SL050,34164848063,9,110,5
SL050,34164848063,6,110,2
SL050,34164848063,1,110,3
SL050,34164848062,9,110,7
SL050,34164848062,6,110,5
SL050,34164848062,1,110,2
SL050,34164848061,9,154,5
SL050,34164848061,6,154,4
SL050,34164848061,1,351,3
SL050,34164848060,9,239,171
SL050,34164848060,6,128,51
SL050,34164848060,1,239,140
SL050,34164848059,9,123,18
SL050,34164848059,6,123,4
SL050,34164848059,1,123,14
SL050,34164848058,9,228,11
SL050,34164848058,6,228,5
SL050,34164848058,1,228,6
SL050,34164848057,9,347,101
SL050,34164848057,6,347,60
SL050,34164848057,1,239,83
SL050,34164848056,9,343,9
SL050,34164848056,6,125,6
SL050,34164848056,1,110,3
SL050,34164848055,9,128,104
SL050,34164848055,6,128,53
SL050,34164848055,1,128,51
SL050,34164848054,9,341,372
SL050,34164848054,6,341,225
SL050,34164848054,1,341,147
SL050,34164848053,9,125,7
SL050,34164848053,6,125,5
SL050,34164848053,1,340,4
SL050,34164848052,9,343,12
SL050,34164848052,6,343,8
SL050,34164848052,1,343,4
SL050,34164848051,9,341,9
SL050,34164848051,6,341,5
SL050,34164848051,1,341,4
SL050,34164848050,9,228,26
SL050,34164848050,6,220,2
SL050,34164848050,1,228,24
SL050,34164848049,9,123,5
SL050,34164848049,6,323,4
SL050,34164848049,1,302,3
SL050,34164848048,9,340,3
SL050,34164848048,6,315,2
SL050,34164848048,1,340,2
SL050,34164848047,9,123,3
SL050,34164848047,6,123,2
SL050,34164848047,1,230,2
SL050,34164848046,9,128,844
SL050,34164848046,6,128,420
SL050,34164848046,1,128,424
SL050,34164848045,9,228,86
SL050,34164848045,6,228,35
SL050,34164848045,1,228,51
SL050,34164848044,9,341,1144
SL050,34164848044,6,341,724
SL050,34164848044,1,341,420
SL050,34164848043,9,343,43
SL050,34164848043,6,343,28
SL050,34164848043,1,343,15
SL050,34164848042,9,128,17
SL050,34164848042,6,323,10
SL050,34164848042,1,128,9
SL050,34164848041,9,128,12
SL050,34164848041,6,302,6
SL050,34164848041,1,128,7
SL050,34164848040,9,343,16
SL050,34164848040,6,343,10
SL050,34164848040,1,343,6
SL050,34164848039,9,154,2
SL050,34164848039,6,154,2
SL050,34164848039,1,135,1
SL050,34164848038,9,323,7
SL050,34164848038,6,323,7
SL050,34164848038,1,125,4
SL050,34164848037,9,128,6
SL050,34164848037,6,128,4
SL050,34164848037,1,123,2
SL050,34164848036,9,128,243
SL050,34164848036,6,128,126
SL050,34164848036,1,128,117
SL050,34164848035,9,343,11
SL050,34164848035,6,343,6
SL050,34164848035,1,343,5
SL050,34164848034,9,228,378
SL050,34164848034,6,228,160
SL050,34164848034,1,228,218
SL050,34164848033,9,123,4
SL050,34164848033,6,123,2
SL050,34164848033,1,123,2
SL050,34164848032,9,341,96
SL050,34164848032,6,341,55
SL050,34164848032,1,341,41
SL050,34164848031,9,340,4
SL050,34164848031,6,351,2
SL050,34164848031,1,340,3
SL050,34164848030,9,239,28
SL050,34164848030,6,239,6
SL050,34164848030,1,239,22
SL050,34164848029,9,228,69
SL050,34164848029,6,343,38
SL050,34164848029,1,228,47
SL050,34164848028,9,303,10
SL050,34164848028,6,303,6
SL050,34164848028,1,302,6
SL050,34164848027,9,341,381
SL050,34164848027,6,341,226
SL050,34164848027,1,128,156
SL050,34164848026,9,340,7
SL050,34164848026,6,340,4
SL050,34164848026,1,115,3
SL050,34164848025,9,128,5
SL050,34164848025,6,128,3
SL050,34164848025,1,128,2
SL050,34164848024,9,128,18
SL050,34164848024,6,128,9
SL050,34164848024,1,128,9
SL050,34164848023,9,343,13
SL050,34164848023,6,343,8
SL050,34164848023,1,228,6
SL050,34164848022,9,323,44
SL050,34164848022,6,323,36
SL050,34164848022,1,303,10
SL050,34164848021,9,128,14
SL050,34164848021,6,128,8
SL050,34164848021,1,228,7
SL050,34164848020,9,343,5233
SL050,34164848020,6,343,3128
SL050,34164848020,1,228,2126
SL050,34164848019,9,228,100
SL050,34164848019,6,128,41
SL050,34164848019,1,228,61
SL050,34164848018,9,239,101
SL050,34164848018,6,239,11
SL050,34164848018,1,239,90
SL050,34164848017,9,128,415
SL050,34164848017,6,128,216
SL050,34164848017,1,128,199
SL050,34164848016,9,341,74
SL050,34164848016,6,341,41
SL050,34164848016,1,341,33
SL050,34164848015,9,128,508
SL050,34164848015,6,128,245
SL050,34164848015,1,128,263
SL050,34164848014,9,341,7
SL050,34164848014,6,228,3
SL050,34164848014,1,110,4
SL050,34164848013,9,343,1078
SL050,34164848013,6,343,636
SL050,34164848013,1,228,613
SL050,34164848012,9,343,15
SL050,34164848012,6,351,12
SL050,34164848012,1,239,8
SL050,34164848011,9,228,98
SL050,34164848011,6,128,48
SL050,34164848011,1,228,66
SL050,34164848010,9,110,6
SL050,34164848010,6,110,4
SL050,34164848010,1,239,3
SL050,34164848009,9,343,6
SL050,34164848009,6,343,5
SL050,34164848009,1,123,5
